Net_ID,OnDeck_Start,OnDeck_End,Sorting_Start,Sorting_End,OnDeck_Duration,Sorting_Duration
Net1,21:18:04,21:19:00,21:19:04,21:36:04,60,1024
Net2,22:12:16,22:13:00,22:13:04,22:19:56,48,416
Net3,23:08:36,23:09:28,23:09:32,23:24:56,56,928
Net4,00:14:48,00:15:52,00:15:56,00:30:08,68,856
Net5,01:04:12,01:04:28,01:04:32,01:17:48,20,800
Net6,01:54:32,01:55:28,01:55:32,02:07:24,60,716
Net7,02:48:52,02:49:08,02:49:12,02:54:20,20,312
Net8,03:50:44,03:51:52,03:51:56,04:04:04,72,732
Net9,04:57:16,04:57:56,04:58:00,04:59:56,44,120
